compound,auid,aurl,aurl_http,spacegroup_relax,Pearson_symbol_relax,species
C3,aflow:9466bbb7c18bbab4,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CIn_d/323/323.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CIn_d/323,191.0,hP1,['C']
C2,aflow:947f109a1173281e,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CRe_pv/h1/h1.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CRe_pv/h1,194.0,hP2,['C']
C1,aflow:9451519725056074,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CI/f1/f1.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CI/f1,225.0,cF4,['C']
C2,aflow:95f2fae3a3e907ff,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CSn/301/301.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CSn/301,227.0,cF8,['C']
C1,aflow:9548d727f17274ef,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CIr/2/2.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CIr/2,225.0,cF4,['C']
C1,aflow:95a59c82363b6f94,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CFe_pv/303/303.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CFe_pv/303,139.0,tI2,['C']
C2,aflow:95d01672306bc46d,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CGa_h/305/305.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CGa_h/305,227.0,cF8,['C']
C1,aflow:95bc109c044f5ff8,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/Be_svC/f2/f2.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/Be_svC/f2,225.0,cF4,['C']
C1,aflow:956d3a5dd5b3a585,https://aflowlib.duke.edu/05Jan2001/A2/A2.cif,https://aflowlib.duke.edu/05Jan2001/A2,229.0,cI2,['C']
C1,aflow:9651e4b21356c1db,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CSn/2/2.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CSn/2,225.0,cF4,['C']
C1,aflow:9774827b4ae64a26,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CPt/303/303.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CPt/303,139.0,tI2,['C']
C2,aflow:9764fb3567280cad,https://aflowlib.duke.edu/20Dec2001/A7/A7.cif,https://aflowlib.duke.edu/20Dec2001/A7,227.0,cF8,['C']
C1,aflow:9707450f1a5cb67c,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CPd_pv/59/59.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CPd_pv/59,229.0,cI2,['C']
C2,aflow:98539d51158051d8,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CMn_pv/117/117.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CMn_pv/117,194.0,hP2,['C']
C2,aflow:985390dc967f82cf,https://aflowlib.duke.edu/01Apr2000/A3/A3.cif,https://aflowlib.duke.edu/01Apr2000/A3,194.0,hP2,['C']
C4,aflow:98e09cd74443fe7f,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CHf_pv/317/317.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CHf_pv/317,67.0,oS4,['C']
C2,aflow:981aeee81e44b620,https://aflowlib.duke.edu/AFLOWDATA/ICSD_WEB/FCC/C1_ICSD_655131/C1_ICSD_655131.cif,https://aflowlib.duke.edu/AFLOWDATA/ICSD_WEB/FCC/C1_ICSD_655131,227.0,cF8,['C']
C2,aflow:98c03895e66b3a87,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CTa_pv/301/301.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CTa_pv/301,227.0,cF8,['C']
C1,aflow:99cac2efaa719048,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CSr_sv/59/59.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CSr_sv/59,229.0,cI2,['C']
C1,aflow:99e2bb0421e49ef2,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CHg/303/303.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CHg/303,139.0,tI2,['C']
C4,aflow:9933e00194cd3b82,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CCu_pv/317/317.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CCu_pv/317,67.0,oS4,['C']
C1,aflow:9aa9fc2c93ca0010,https://aflowlib.duke.edu/18Jul2000/0/0.cif,https://aflowlib.duke.edu/18Jul2000/0,,,['C']
C4,aflow:9a1c720bac4d769c,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CNa_sv/317/317.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CNa_sv/317,67.0,oS4,['C']
C4,aflow:9b46eaabb1d052b7,https://aflowlib.duke.edu/01Apr2000/A9/A9.cif,https://aflowlib.duke.edu/01Apr2000/A9,194.0,hP4,['C']
C1,aflow:9be8e3c2bccdc95f,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CNb_sv/59/59.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CNb_sv/59,229.0,cI2,['C']
C4,aflow:9c0fca80252fb5a5,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CTl_d/317/317.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CTl_d/317,67.0,oS4,['C']
C1,aflow:9c311a9bf1604078,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CMn_pv/2/2.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CMn_pv/2,225.0,cF4,['C']
C1,aflow:9c4535030af2a894,https://aflowlib.duke.edu/01Apr2000/A2/A2.cif,https://aflowlib.duke.edu/01Apr2000/A2,229.0,cI2,['C']
C3,aflow:9cadc668a486b265,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CCd/323/323.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CCd/323,191.0,hP1,['C']
C2,aflow:9c596828eb8ac3f6,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CI/301/301.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CI/301,227.0,cF8,['C']
C1,aflow:9c4e25d970c69594,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CNa_sv/303/303.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CNa_sv/303,139.0,tI2,['C']
C2,aflow:9d251648172e18ab,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CCs_sv/h1/h1.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CCs_sv/h1,194.0,hP2,['C']
C2,aflow:9d5d5f7ddaf243b4,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CCd/301/301.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CCd/301,227.0,cF8,['C']
C2,aflow:9d3dd67cf2e1a875,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CTi_sv/305/305.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CTi_sv/305,227.0,cF8,['C']
C2,aflow:9e54ce0aca350f77,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CMn_pv/h1/h1.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CMn_pv/h1,194.0,hP2,['C']
C2,aflow:9e53d5167c1727f2,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CRu_pv/301/301.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CRu_pv/301,227.0,cF8,['C']
C1,aflow:9eaf22a642819dba,https://aflowlib.duke.edu/01Apr2000/A2/A2.cif,https://aflowlib.duke.edu/01Apr2000/A2,229.0,cI2,['C']
C3,aflow:9e51d7348b91d90a,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CCa_sv/323/323.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CCa_sv/323,191.0,hP1,['C']
C2,aflow:9f3688a161de6732,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CY_sv/A7.A/A7.A.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CY_sv/A7.A,227.0,cF8,['C']
C2,aflow:9f7bdf05fbd44a95,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CTc_pv/117/117.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CTc_pv/117,194.0,hP2,['C']
C4,aflow:9fae92b68c74b852,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CGa_h/317/317.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CGa_h/317,67.0,oS4,['C']
C3,aflow:a0e5539e4806753c,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CRh_pv/323/323.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CRh_pv/323,191.0,hP1,['C']
C1,aflow:a0909f2afab99ba3,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CRb_sv/b1/b1.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CRb_sv/b1,229.0,cI2,['C']
C4,aflow:a1523d0186c0d5c5,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CZr_sv/317/317.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CZr_sv/317,67.0,oS4,['C']
C1,aflow:a246fddabab09476,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CRb_sv/59/59.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CRb_sv/59,229.0,cI2,['C']
C1,aflow:a29e18a326960d44,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CV_sv/2/2.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CV_sv/2,225.0,cF4,['C']
C1,aflow:a39da444112c2183,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CY_sv/f1/f1.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CY_sv/f1,225.0,cF4,['C']
C1,aflow:a4a938703147bd8b,https://aflowlib.duke.edu/20Dec2001/A2/A2.cif,https://aflowlib.duke.edu/20Dec2001/A2,229.0,cI2,['C']
C1,aflow:a4450935ab06a740,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CCa_sv/2/2.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CCa_sv/2,225.0,cF4,['C']
C2,aflow:a43f3ac62d91de4c,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CIn_d/305/305.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CIn_d/305,227.0,cF8,['C']
C2,aflow:a4be906c73ba4baa,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/COs_pv/A7.A/A7.A.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/COs_pv/A7.A,227.0,cF8,['C']
C2,aflow:a5744075b394daea,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CRh_pv/301/301.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CRh_pv/301,227.0,cF8,['C']
C1,aflow:a510bb08c31d3e77,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/AlC/1/1.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/AlC/1,225.0,cF4,['C']
C8,aflow:a59baaad49eb5ab9,https://aflowlib.duke.edu/AFLOWDATA/ICSD_WEB/MCLC/C1_ICSD_182760/C1_ICSD_182760.cif,https://aflowlib.duke.edu/AFLOWDATA/ICSD_WEB/MCLC/C1_ICSD_182760,12.0,mS16,['C']
C4,aflow:a6959c90cf3ecaa2,https://aflowlib.duke.edu/01Apr2000/A9/A9.cif,https://aflowlib.duke.edu/01Apr2000/A9,194.0,hP4,['C']
C2,aflow:a6046e43ac8d790b,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CNa_sv/301/301.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CNa_sv/301,227.0,cF8,['C']
C1,aflow:a67c16dbc166d174,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CCu_pv/b1/b1.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CCu_pv/b1,229.0,cI2,['C']
